iata_code,type,name,scheduled_service
VPN,small_airport,Vopnafjörður Airport,yes
BJE,small_airport,Baleela Airport,no
BJQ,small_airport,Bahja Airport,no
BJT,seaplane_base,Bentota River Waterdrome,yes
PRN,medium_airport,Priština Adem Jashari International Airport,yes
BMQ,small_airport,Bamburi Airport,no
BNF,seaplane_base,Baranof Warm Springs Float and Seaplane Base,no
BNV,small_airport,Boana Airport,no
BVL,small_airport,Baures Airport,no
BOV,small_airport,Boang Airport,no
BQV,seaplane_base,Bartlett Cove Seaplane Base,no
CJZ,small_airport,Pedro Vieira Moreira Airport,yes
VDC,medium_airport,Glauber de Andrade Rocha Airport,yes
CMP,small_airport,Santana do Araguaia Airport,no
AAI,small_airport,Arraias Airport,no
ITN,small_airport,Tertuliano Guedes de Pinho Airport,no
LEP,small_airport,Leopoldina Airport,no
CPU,small_airport,Cururupu Airport,no
CTQ,small_airport,Santa Vitória do Palmar Airport,no
APY,small_airport,Alto Parnaíba Airport,no
JRN,small_airport,Juruena Airport,no
STZ,small_airport,Santa Terezinha Airport,no
MTG,small_airport,Vila Bela da Santíssima Trindade Airport,no
ALT,small_airport,Alenquer Municipal Airport,no
NSB,seaplane_base,Bimini North Seaplane Base,yes
BSV,small_airport,Besakoa Airport,no
BTZ,medium_airport,Betong International Airport,no
HUK,small_airport,Hukuntsi Airport,no
BWJ,small_airport,Bawan Airport,no
BXL,seaplane_base,Blue Lagoon Seaplane Base,no
TXC,medium_airport,Orsha Airport - Balbasovo Air Base,no
BYA,small_airport,Boundary Airport,no
BYL,small_airport,Bella Yella Airport,no
BYV,seaplane_base,Beira Lake Seaplane Base,no
BCV,small_airport,Hector Silva Airstrip,no
BGK,small_airport,Big Creek Airport,yes
CUK,medium_airport,Caye Caulker Airport,yes
CYC,medium_airport,Caye Chapel Airport,yes
CZH,medium_airport,Corozal Airport,yes
DGA,medium_airport,Dangriga Airport,yes
INB,small_airport,Independence Airport,yes
MDB,small_airport,Melinda Airport,no
ORZ,small_airport,H.E Alfredo Martinez (Tower Hill) Airstrip,yes
PND,medium_airport,Punta Gorda Airport,yes
SJX,medium_airport,Sartaneja Airport,no
SPR,medium_airport,John Greif II Airport,yes
SQS,small_airport,Matthew Spain Airport,no
STU,small_airport,Santa Cruz Airport,no
SVK,small_airport,Silver Creek Airport,no
TZA,medium_airport,Sir Barry Bowen Municipal Airport,yes
BZB,medium_airport,Bazaruto Island Airport,no
BZM,small_airport,Bemolanga Airport,no
PFM,small_airport,Primrose Airport,no
YSV,small_airport,Saglek Airport,no
YRR,small_airport,Stuart Island Airstrip,no
YMV,small_airport,Mary River Aerodrome,no
YHC,seaplane_base,Hakai Passage Water Aerodrome,no
YMF,seaplane_base,Montague Harbour Seaplane Base,yes
PYS,small_airport,Paradise Skypark Airport,no
YBW,seaplane_base,Bedwell Harbour Seaplane Base,yes
YTP,seaplane_base,Tofino Harbour Seaplane Base,yes
CBA,heliport,Alpine Heliport,no
ZNA,seaplane_base,Nanaimo Harbour Water Aerodrome,yes
YZZ,small_airport,Trail Regional Airport,yes
YMB,small_airport,Merritt Airport,no
YHH,seaplane_base,Campbell River Seaplane Base,yes
YWS,seaplane_base,Whistler/Green Lake Water Aerodrome,yes
YBF,seaplane_base,Bamfield Seaplane Base,yes
YIG,seaplane_base,Big Bay Seaplane Base,yes
CJH,small_airport,Chilko Lake (Tsylos Park Lodge) Airport,no
YPT,seaplane_base,Pender Harbour Seaplane Base,no
ZOF,seaplane_base,Ocean Falls Seaplane Base,no
YCA,small_airport,Courtenay Airpark,no
CFQ,small_airport,Creston Valley Regional Airport - Art Sutcliffe Field,no
YAA,medium_airport,Anahim Lake Airport,yes
DGF,small_airport,Douglas Lake Airport,no
JHL,small_airport,Fort MacKay/Albian Aerodrome,no
ZTS,seaplane_base,Tahsis Seaplane Base,no
DUQ,small_airport,Duncan Airport,no
YHS,small_airport,Sechelt-Gibsons Airport,no
YKK,seaplane_base,Kitkatla Seaplane Base,no
ZQS,seaplane_base,Queen Charlotte City Seaplane Base,no
WPL,seaplane_base,Powell Lake Seaplane Base,yes
XQU,medium_airport,Qualicum Beach Airport,yes
YMP,small_airport,Port McNeill Airport,yes
YRN,seaplane_base,Rivers Inlet Seaplane Base,no
